1136+1551   2-Mar-17  223000.00   57814.93750000000             4.840709 -0.121  -9.914
    829728074.847588    0.841812442909  vla  300   12   327.250                 
 -2.32578658825856685e-11  4.54968009281204587e-04  8.01535269104162163e-08     
 -1.18833876421638935e-10 -1.75352467752792742e-13  1.13653229403627336e-16     
  1.10297373266977418e-19 -5.07917324114392046e-23  1.69522719413432579e-26     
  1.86125736208455911e-28 -6.68437890434420066e-31 -5.16286106974549301e-33     
1136+1551   3-Mar-17   33000.00   57815.14583333330             4.840709 -0.122 -10.000
    829743227.610978    0.841812442909  vla  300   12   327.250                 
 -1.61503708021257100e-10  4.57950778413990971e-04 -8.04887912011679260e-08     
 -1.85358918611290068e-10  8.09142137188845991e-14  1.76910128483056841e-16     
 -5.53841896431574618e-20 -2.25898533575588550e-23  2.27233548858063228e-25     
 -2.80122293808305259e-27 -3.77662653590403857e-30  4.79667410461820190e-32     
1136+1551   3-Mar-17   83000.00   57815.35416666660             4.840709 -0.105  -9.910
    829758380.361117    0.841812442909  vla  300   12   327.250                 
  1.09407006024877745e-10  3.74409165074359319e-04 -1.65612779008504113e-07     
  2.41643466025176136e-11  2.16677246127480978e-13 -2.24170908633485656e-17     
 -1.37145994233295657e-19 -4.72850343674271123e-23 -5.58977508504815481e-27     
  2.13335889691511242e-27  7.84080380238971133e-31 -2.94001160558279688e-32     
1136+1551   3-Mar-17  133000.00   57815.56250000000             4.840709 -0.091  -9.892
    829773533.084767    0.841812442909  vla  300   12   327.250                 
  7.06544968254976817e-11  3.02149054350643164e-04 -4.84443824339121714e-08     
  1.97704598456573821e-10  2.97785576672574048e-14 -1.89332835034419968e-16     
 -1.93900498914532492e-20  9.32500088529480018e-23  2.77316808517164796e-26     
 -1.58326886028667928e-28 -4.71292845260088821e-31 -2.79786652091428665e-34     
1136+1551   3-Mar-17  183000.00   57815.77083333330             4.840709 -0.095  -9.996
    829788685.800146    0.841812442909  vla  300   12   327.250                 
 -6.96684542045699625e-11  3.22175191300168155e-04  9.65199290108534705e-08     
  7.68063974693335928e-11 -2.01482778608104228e-13 -7.40733729122193378e-17     
  1.28676218489777680e-19  8.03453958825490198e-23 -3.21765922435701001e-26     
 -1.83945541391430118e-27 -4.13605698736643741e-31  2.69705285560025448e-32     
1136+1551   3-Mar-17  223000.00   57815.93750000000             4.840709 -0.104  -9.848
    829800807.982569    0.841812442909  vla  300   12   327.250                 
  2.64895279401863476e-10  3.70058234201573323e-04  7.87384736389327763e-08     
 -1.21568394626606262e-10 -1.73106644057064007e-13  1.15602056650976464e-16     
  1.10195376906753261e-19  1.87407306421451187e-23 -1.60970256436347401e-26     
 -2.88322448729353274e-27 -5.64842003867820640e-31  4.26566979481444496e-32     
1136+1551   4-Mar-17   33000.00   57816.14583333330             4.840709 -0.105  -9.972
    829815960.720308    0.841812442909  vla  300   12   327.250                 
 -1.03971873014954488e-10  3.71777485388196760e-04 -8.26613018958125505e-08     
 -1.84054020802325794e-10  8.43775186277658855e-14  1.75455536023256266e-16     
 -5.53395914854832381e-20 -1.46275922536565285e-23  1.01183454955560953e-25     
 -2.67277772333231509e-27 -1.55323128476310108e-30  4.04221965455678796e-32     
1136+1551   4-Mar-17   83000.00   57816.35416666660             4.840709 -0.088  -9.979
    829831113.444458    0.841812442909  vla  300   12   327.250                 
 -2.07707527720922051e-10  2.87580961749327537e-04 -1.65298245289556881e-07     
  2.75733116468445825e-11  2.16206339586167378e-13 -2.58473093517213813e-17     
 -1.39928650236155983e-19 -4.24297915865183473e-23  1.67323397729615423e-25     
  2.39416610536506432e-27 -2.28045941692174559e-30 -3.83692393576901746e-32     
1136+1551   4-Mar-17  133000.00   57816.56250000000             4.840709 -0.074  -9.965
    829846266.142169    0.841812442909  vla  300   12   327.250                 
  1.43595191936042360e-11  2.16256639154769541e-04 -4.60979932302001439e-08     
  1.98147159105185195e-10  2.61213124243144605e-14 -1.89791025931108118e-16     
 -2.34246470308051725e-20  9.29610366284203448e-23  2.79234007140641950e-25     
 -1.25724768496604906e-28 -3.97256982994851890e-30 -3.30090162866774533e-35     
1136+1551   4-Mar-17  183000.00   57816.77083333330             4.840709 -0.078  -9.987
    829861418.831974    0.841812442909  vla  300   12   327.250                 
  1.32371463768657121e-10  2.37425026647481786e-04  9.74217628036343612e-08     
  7.36256221758767847e-11 -2.02914483335490297e-13 -7.05850116357926994e-17     
  1.31226938549661038e-19  5.81372914901973149e-23 -9.53864225356954236e-26     
 -1.47163651367998396e-27  3.62557318876541020e-31  2.59150869506770659e-32     
1136+1551   4-Mar-17  223000.00   57816.93750000000             4.840709 -0.087 -10.042
    829873540.994062    0.841812442909  vla  300   12   327.250                 
 -1.06322709531300829e-10  2.85166580380142546e-04  7.73052581362800433e-08     
 -1.24273402673068916e-10 -1.70751742268709179e-13  1.19047058126768152e-16     
  1.04012819273145001e-19 -5.70094009539899164e-23  1.81615202603688424e-25     
 -4.64977922841822077e-29 -3.33923962633763768e-30  2.89643748596049290e-33     
1136+1551   5-Mar-17   33000.00   57817.14583333330             4.840709 -0.088  -9.963
    829888693.706155    0.841812442909  vla  300   12   327.250                 
  8.85399775220159697e-11  2.85624786401150635e-04 -8.48046254508294483e-08     
