1740+1311   4-Mar-17   20000.00   57816.08333333330            48.668315 -0.798 -9.085
   1027920933.867835    1.245252064335   ao  300   12   327.250                
 -5.17626629597073377e-11  5.85434055298754419e-03  1.85911803373478324e-07
 -2.20101484063491875e-10 -2.86338795967873807e-13  2.07776537698140144e-16
  1.82750065467653504e-19  7.01519450430150457e-23 -9.36897971094738766e-26
 -4.00194932070526234e-27  9.20309013053674469e-31  2.66307754700644394e-32
1740+1311   4-Mar-17   70000.00   57816.29166666660            48.668314 -0.803 -9.078
   1027943350.170381    1.245252064335   ao  300   12   327.250                
 -1.52348429140174242e-09  5.88613909409254222e-03 -9.37141339751812176e-08
 -3.09439249212823742e-10  1.59566896882707483e-13  2.96271438322559088e-16
 -1.14599424155902612e-19 -1.42351366412338338e-23  7.27249696472575039e-25
 -9.25027419323004627e-27 -1.14009098396041624e-29  1.86243173765392712e-31
1740+1311   4-Mar-17  120000.00   57816.49999999990            48.668314 -0.788 -8.924
   1027965766.458499    1.245252064335   ao  300   12   327.250                
  1.36458863697277361e-09  5.77348840528320827e-03 -2.24425332249885002e-07
  6.18243941990460116e-11  3.67648251725521884e-13 -5.11452858668791452e-17
 -2.13953463201125061e-19 -6.28846911763009345e-22 -8.84000458569784809e-25
  2.35439496358559350e-26  1.51630623955180124e-29 -3.14762067625292258e-31
1740+1311   4-Mar-17  170000.00   57816.70833333330            48.668314 -0.776 -9.053
   1027988182.711858    1.245252064335   ao  300   12   327.250                
  8.49242848598066519e-11  5.68970582950137620e-03 -1.17561509170024391e-08
  3.40827984227373882e-10  2.83493413058823771e-14 -3.30198198522281002e-16
 -1.80631299461810587e-20  3.92803578048107531e-22 -1.65776727768146195e-26
 -6.54958410943343576e-27  2.06002764153191875e-31  5.75605171016315850e-32
1740+1311   4-Mar-17  220000.00   57816.91666666660            48.668314 -0.786 -9.206
   1028010598.963523    1.245252064335   ao  300   12   327.250                
 -2.44486889924182540e-10  5.76499546591647746e-03  2.27367300642410543e-07
  1.11986068431548990e-10 -3.53295459560739330e-13 -1.11230534936526637e-16
  2.20941364189535223e-19  3.27750793680715455e-22  1.24949418427296713e-25
 -8.79049644545587042e-27 -3.23698895439445886e-30  9.92471350838757202e-32
1740+1311   5-Mar-17   20000.00   57817.08333333330            48.668314 -0.801 -8.948
   1028028531.990283    1.245252064335   ao  300   12   327.250                
  5.78700315350437480e-10  5.87327412957463612e-03  1.82645443942947091e-07
 -2.24586675094276899e-10 -2.82284001005730528e-13  2.13362122301941252e-16
  1.92644963979144545e-19  7.55558860225194344e-23 -5.78273300329440228e-25
 -7.71139986125211603e-27  7.49197663020557827e-30  1.20182252193854197e-31
1740+1311   5-Mar-17   70000.00   57817.29166666660            48.668314 -0.805 -9.177
   1028050948.298137    1.245252064335   ao  300   12   327.250                
 -1.84168138701616140e-10  5.90248417486954717e-03 -9.79904793758510807e-08
 -3.06854240766478943e-10  1.65316099241989859e-13  2.90839584726736792e-16
 -1.06062864820644664e-19  4.67293464147288182e-23  4.78573425298570370e-26
 -5.12538838107042517e-27 -1.01576898373858128e-31  5.03329689579264328e-32
1740+1311   5-Mar-17  120000.00   57817.49999999990            48.668313 -0.790 -9.206
   1028073364.590881    1.245252064335   ao  300   12   327.250                
 -3.25399084966446753e-10  5.78843884062085322e-03 -2.24300792925889257e-07
  6.76653773537702047e-11  3.66598473770808096e-13 -6.78548333142879637e-17
 -2.34255952608796832e-19  2.16203317826242788e-22  7.85954288903915078e-26
 -4.88517229256635528e-27  1.91551832435800803e-31  3.95204819213751707e-32
1740+1311   5-Mar-17  170000.00   57817.70833333330            48.668313 -0.779 -8.926
   1028095780.848870    1.245252064335   ao  300   12   327.250                
 -9.32389921259873392e-10  5.70595898720323812e-03 -8.37131022789357144e-09
  3.41198837645540528e-10  2.22159121639869280e-14 -3.27324226953566148e-16
 -4.40289602225738454e-20  2.65032150984809651e-22  1.27080661852933592e-24
 -6.54137166105426092e-27 -1.90588056937521787e-29  1.16553858651968787e-31
1740+1311   5-Mar-17  220000.00   57817.91666666660            48.668313 -0.789 -9.049
   1028118197.105676    1.245252064335   ao  300   12   327.250                
  9.83567788483139793e-10  5.78273727861569609e-03  2.28021330723072488e-07
  1.06395446871215931e-10 -3.55326267086778520e-13 -1.02529144401335634e-16
  2.27637076817416369e-19  9.74498218166771499e-23 -3.49576140918955538e-25
 -2.06695443330827416e-27  6.56873621401811856e-30  2.97864527748334721e-32
1740+1311   6-Mar-17   13000.00   57818.06250000000            48.668313 -0.802 -9.030
   1028133888.506397    1.245252064335   ao  300   12   327.250                
  2.34648422507361664e-10  5.87899747088736421e-03  1.98390477476857210e-07
 -1.93732412684480334e-10 -3.08147353870868457e-13  1.78760320517277233e-16
  1.81460529971856006e-19  4.48781191634756022e-22  7.23086816782677590e-25
 -1.97564372632381546e-26 -1.45096633327914969e-29  2.75478568025468251e-31
1740+1311   6-Mar-17   63000.00   57818.27083333330            48.668313 -0.808 -9.021
   1028156304.817949    1.245252064335   ao  300   12   327.250                
 -7.02271211228767400e-10  5.92226209571491882e-03 -7.39980390610804932e-08
 -3.22070792317865810e-10  1.26004325529601570e-13  3.06887664490839461e-16
 -7.45280773950148177e-20 -1.23435455647149098e-23 -3.24427962372192645e-25
 -5.72654848160122334e-27  7.03177610974113957e-30  9.30852015393115151e-32
1740+1311   6-Mar-17  113000.00   57818.47916666660            48.668313 -0.793 -8.958
   1028178721.118109    1.245252064335   ao  300   12   327.250                
 -1.41618856537983923e-09  5.81517456047657422e-03 -2.28712789552177437e-07
  2.90224309175505831e-11  3.72950958981305992e-13 -2.01264625805862543e-17
 -2.75315627993171620e-19 -5.87621641658939741e-22  1.86004636351708241e-24
  2.03589252892981742e-26 -2.86413862919037954e-29 -2.52693089933014456e-31
1740+1311   6-Mar-17  163000.00   57818.68750000000            48.668312 -0.781 -8.978
   1028201137.382812    1.245252064335   ao  300   12   327.250                
  7.59025092225422174e-10  5.72164347775378900e-03 -3.55296578750781496e-08
  3.36712910572659625e-10  6.41485550509903515e-14 -3.24740662271507776e-16
 -2.82758537350798435e-20  3.83474853966923297e-22 -4.75180855643192378e-25
 -9.98840398123188931e-27  5.94106876700074411e-30  1.50893690358782637e-31
1740+1311   6-Mar-17  213000.00   57818.89583333330            48.668312 -0.789 -9.188
   1028223553.642093    1.245252064335   ao  300   12   327.250                
 -4.78674118362024098e-11  5.78527255132284864e-03  2.17651976501718196e-07
  1.42707336495146726e-10 -3.39835899346340211e-13 -1.40743285622078622e-16
