1740+1311   4-Mar-17   43000.00   57816.18750000000            48.668315 -0.797 -8.925
   1027932142.007466    1.245252064335  vla  300   12   327.250                
  1.24965286571933732e-09  5.84335292135619230e-03  1.70375933539999503e-07
 -1.78966090778416256e-10 -2.61917503327344798e-13  1.71367402701907111e-16
  1.91362205149089018e-19 -3.35539771016507211e-23 -1.03445947508400415e-24
 -3.80313202136512183e-27  1.35471615530938658e-29  8.22972480517983631e-32
1740+1311   4-Mar-17   93000.00   57816.39583333330            48.668314 -0.802 -9.062
   1027954558.306525    1.245252064335  vla  300   12   327.250                
  1.11499797601177522e-09  5.87788074861864129e-03 -7.04454246434920510e-08
 -2.77106002490758754e-10  1.22302858789794661e-13  2.65141050669910358e-16
 -7.37229295938442813e-20 -1.16440334767924310e-22 -3.58426435061725731e-25
 -3.88978939927873605e-28  8.16918285542310104e-30  6.32017159985889278e-33
1740+1311   4-Mar-17  143000.00   57816.60416666660            48.668314 -0.789 -9.202
   1027976974.594776    1.245252064335  vla  300   12   327.250                
 -3.53763715038021286e-10  5.78304748913667944e-03 -1.97105578619045423e-07
  3.72351731811115417e-11  3.24119078353140754e-13 -3.85367183186737699e-17
 -2.07094642668619196e-19  1.72878836958857955e-22  1.03035676660780296e-25
 -3.24243845255670739e-27 -8.14621567872991596e-31  9.43393084541712542e-33
1740+1311   4-Mar-17  193000.00   57816.81250000000            48.668314 -0.779 -9.037
   1027999390.852516    1.245252064335  vla  300   12   327.250                
 -9.87691180571965421e-10  5.70557508268750794e-03 -2.11743332693352900e-08
  2.95863344538823711e-10  4.37588867695917530e-14 -2.79922836129031043e-16
 -8.67958786079754521e-20 -2.72640104053016728e-23  2.72085843643401856e-24
  1.49718894299980858e-27 -4.28395463322454775e-29  3.31669060377990162e-32
1740+1311   5-Mar-17    3000.00   57817.02083333330            48.668314 -0.787 -8.990
   1028021807.107097    1.245252064335  vla  300   12   327.250                
  1.89188702046562796e-09  5.76620974075230368e-03  1.95137780559291414e-07
  1.13644785278957508e-10 -3.02033570316980091e-13 -1.03378055969721870e-16
  1.99087873995871199e-19 -3.63525122946346564e-22 -5.03418439017442822e-25
  1.35607573881286560e-26  8.27176497347508745e-30 -1.60619048053155493e-31
1740+1311   5-Mar-17   43000.00   57817.18750000000            48.668314 -0.799 -8.964
